Date,Open,High,Low,Close,Adj Close,Volume
17-12-2020,277.070007,280.440002,273.609985,274.480011,274.480011,16377800
18-12-2020,275.769989,278,271.140015,276.399994,276.399994,26693200
21-12-2020,272.980011,274.670013,267.790009,272.790009,272.790009,16553700
22-12-2020,271.5,271.5,264.630005,267.089996,267.089996,17312900
23-12-2020,266.890015,272.170013,266.230011,268.109985,268.109985,14329000
24-12-2020,268.880005,270.399994,266.200012,267.399994,267.399994,6702000
28-12-2020,268.73999,277.299988,265.660004,277,277,23299700
29-12-2020,276.950012,280.51001,276.279999,276.779999,276.779999,16383000
30-12-2020,277.950012,278.079987,271.709991,271.869995,271.869995,11803800
31-12-2020,272,277.089996,269.809998,273.160004,273.160004,12900400
04-01-2021,274.779999,275,265.200012,268.940002,268.940002,15106100
05-01-2021,268.290009,272.399994,268.209991,270.970001,270.970001,9871600
06-01-2021,262,267.75,260.01001,263.309998,263.309998,24354100
07-01-2021,265.899994,271.609985,264.779999,268.73999,268.73999,15789800
08-01-2021,268.309998,268.950012,263.179993,267.570007,267.570007,18528300
11-01-2021,260.480011,263.470001,255.899994,256.839996,256.839996,30412300
12-01-2021,256.630005,259.720001,250.300003,251.089996,251.089996,26383500
13-01-2021,251.550003,253.949997,249.199997,251.639999,251.639999,19528900
14-01-2021,253.399994,255.029999,244.610001,245.639999,245.639999,29739400
15-01-2021,247.899994,253.860001,247.160004,251.360001,251.360001,24942900
19-01-2021,256.899994,262.200012,252.720001,261.100006,261.100006,28028500
20-01-2021,268.929993,270.320007,263.600006,267.480011,267.480011,25199900
21-01-2021,269.26001,273.600006,267.48999,272.869995,272.869995,20838700
22-01-2021,272.01001,278.470001,272,274.5,274.5,21954000
25-01-2021,278.140015,280.100006,271.51001,278.01001,278.01001,19087000
26-01-2021,278.140015,285.390015,277.809998,282.049988,282.049988,19373600
27-01-2021,282.529999,283.450012,268.119995,272.140015,272.140015,35346200
28-01-2021,277.179993,286.790009,264.700012,265,265,37758800
29-01-2021,265.299988,266.559998,254.850006,258.329987,258.329987,30389500
01-02-2021,259.519989,264.170013,254.910004,262.01001,262.01001,22914300
02-02-2021,264,268.850006,263.269989,267.079987,267.079987,17320800
03-02-2021,265.619995,269.200012,263.839996,266.649994,266.649994,14223400
04-02-2021,267.01001,268.160004,264,266.48999,266.48999,16060000
05-02-2021,266.799988,269.170013,265.670013,268.100006,268.100006,12454400
08-02-2021,268.75,269.859985,265,266.579987,266.579987,13755200
09-02-2021,266.440002,273.390015,265.75,269.450012,269.450012,14613400
10-02-2021,272.450012,273.799988,267.720001,271.869995,271.869995,14687200
11-02-2021,271.890015,273.579987,268.48999,270.390015,270.390015,12828600
12-02-2021,270.519989,271.179993,268.339996,270.5,270.5,9097600
16-02-2021,270.799988,276.600006,270.049988,273.970001,273.970001,15417200
17-02-2021,271.23999,273.970001,269.579987,273.570007,273.570007,12763200
18-02-2021,269.570007,271.950012,266.029999,269.390015,269.390015,15249100
19-02-2021,269.859985,270.269989,260.149994,261.559998,261.559998,25622600
